model consumption,emissions,energylabel
Opel Antara,2.2,CDTI,163,Cv,Start,&,Stop,M6,4x4,6.4,170,E
Opel Antara,2.2,CDTI,184,Cv,A6,4x4,8,211,G
Opel Antara,2.2,CDTI,184,Cv,Start,&,Stop,M6,4x4,6.4,170,E
Opel Antara,2.4,16v,167,Cv,M6,4x2,8.8,206,E
Opel Antara,2.4,16v,167,Cv,M6,4x2,(M1-AF),8.8,206,E
Opel Antara,MY11,2.2,CDTi,163,Cv,A6,4x4,7.8,205,G
Opel Antara,MY11,2.2,CDTi,163,Cv,M6,4x2,6.3,167,E
Opel Antara,MY11,2.2,CDTi,163,Cv,M6,4x4,6.6,175,E
Opel Antara,MY11,2.2,CDTi,184,Cv,A6,4x4,7.8,205,G
Opel Antara,MY11,2.2,CDTi,184,Cv,M6,4x4,6.6,175,E
Opel Antara,MY13,2.2,CDTI,163,Cv,A6,4x4,7.9,208,G
Opel Antara,MY13,2.2,CDTI,184,Cv,A6,4x4,7.9,208,G
Opel Astra,"1.6,CDTI,Start,&,Stop,136,Cv,M6,,4.2,110,B
Opel Astra,"1.6,Turbo,180,Cv,M6,,6.8,160,C
Opel Astra,"1.7,CDTI,110,Cv,M6,,4.7,123,C
Opel Astra,"1.7,CDTI,130,Cv,M6,,4.7,123,C
Opel Astra,"1.7,CDTI,Start,&,Stop110,Cv,M6,(llantas,18"",y,19""),",4.4,117,B
Opel Astra,"1.7,CDTI,Start,&,Stop,110,Cv,M6,,4.3,114,B
Opel Astra,"1.7,CDTI,Start,&,Stop,130,Cv,M6,,4.3,114,B
Opel Astra,"2.0,CDTI,165,Cv,A6,,5.7,152,D
Opel Astra,"2.0,CDTI,Start,&,Stop,165,Cv,M6,,4.6,123,B
Opel Astra,1.3,EoFlex,Start,&,Stop,95,Cv,3.9,104,A
Opel Astra,1.4,100,Cv,M5,5.5,129,B
Opel Astra,1.4,Turbo,140,Cv,A6,6.7,157,C
Opel Astra,1.4,Turbo,140,Cv,M6,6.1,144,C
Opel Astra,1.4,Turbo,GLP,140,Cv,M6,8.04,123,NA
Opel Astra,1.6,115,Cv,M5,6.7,158,C
Opel Astra,1.6,115,Cv,M5,,6.5,152,C
Opel Astra,1.6,CDTI,Start,&,Stop,110,Cv,M6,4,105,A
Opel Astra,1.6,CDTI,Start,&,Stop,110,Cv,M6,,4.1,109,A
Opel Astra,1.6,CDTI,Start,&,Stop,136,Cv,M6,4.2,111,B
Opel Astra,1.6,CDTI,Start,&,Stop,136,Cv,M6,,4.4,116,B
Opel Astra,1.6,Turbo,180,Cv,M6,6.8,159,C
Opel Astra,1.6,Turbo,Start,&,Stop,170,Cv,M6,6.3,148,C
Opel Astra,1.7,CDTI,110,Cv,M6,4.5,119,B
Opel Astra,1.7,CDTI,130,Cv,M6,4.5,119,B
Opel Astra,1.7,CDTI,Start,&,Stop110,Cv,M6,4.3,114,B
